Date,Type,Outlet,Title,URL
10/15/2016,TV,ABC-7 Chicago,Robots Inspiring STEM Education in Schools,http://abc7chicago.com/education/robots-inspiring-stem-education-in-schools/1555046/
07/16/2016,TV,ABC-7 Chicago,Voting Technology Changing Elections,http://abc7chicago.com/technology/voting-technology-changing-elections/1428545/
01/08/2019,TV,WTTW Chicago Tonight,#DeleteFacebook: Is It Time to Say Farewell to Facebook?,https://news.wttw.com/2019/01/08/deletefacebook-it-time-say-farewell-facebook
03/20/2018,TV,WTTW Chicago Tonight,Reports: Facebook Users' Personal Data Exploited to Help Trump's Campaign,https://chicagotonight.wttw.com/2018/03/20/reports-facebook-users-personal-data-exploited-help-trump-s-campaign
12/09/2016,Magazine,VentureBeat,How AI is Bringing Hollywood to Life, http://venturebeat.com/2016/12/09/how-ai-is-bringing-hollywood-to-life/
12/16/2016,Online,EdTech Digest,Beyond Pythagoras,https://edtechdigest.wordpress.com/2016/12/16/beyond-pythagoras/
11/03/2016,Magazine,Robotics Tomorrow, Robotics 101 at Loyola University Chicago,http://www.roboticstomorrow.com/article/2016/10/robotics-101-at-loyola-university/9027
11/09/2016,Online,SC Media, Vulnerabilities Exist but so do Safeguards,https://www.scmagazine.com/vulnerabilities-exist-but-so-do-safeguards/article/571902/
10/16/2016,Magazine,ZDNet,Can AI really be ethical and unbiased?,http://www.zdnet.com/article/can-ai-really-be-ethical-and-unbiased/
04/24/2015,Newspaper,Philadelphia Inquirer,Penn physicists honored for work that could take heat out of computing,http://articles.philly.com/2015-04-24/news/61462592_1_insulators-transistors-computer
06/07/2012,Magazine,Fast Company Co.Create,The Social Living Room: How Nintendo\'s Wii Revolutionized Gaming and What it Means for the Future of Consoles,http://goo.gl/1dIvDp
03/26/2015,Magazine,IT World,Meet the IT Dream Team,http://www.itworld.com/article/2902274/who-do-you-want-on-your-it-dream-team.html
02/17/2014,Magazine,Computer Weekly,If the Year of Code has got it wrong, how should we teach kids to code?,http://goo.gl/1idy5U
06/24/2014,Online,Dell TechPageOne,Internet of Things will require data centers of all sizes,http://goo.gl/336n7s
07/03/2014,Magazine,Forbes,Does the Internet of Things Need Its Own Network?,http://goo.gl/MuWGvY
08/12/2013,Newspaper,The Telegraph UK,Google Glass the next big gaming platform,http://goo.gl/SuYMpy
09/04/2013,Newspaper,Times of London,Computers with a Sense of Humour,http://goo.gl/ToFpOC
11/12/2012,Online,Supercomputing 2012 Press,IEEE News Release for Supercomputing 2012,http://goo.gl/309AQp